instance,formulation,mode,capacity_multiplier,ratio,lambda_capacity,lambda_assignment,qubo_variables,qubo_quadratic_terms,qubo_range,max_abs_coupling,assignment_strength,capacity_strength,objective_strength,status,feasible_fraction,best_feasible_objective,true_gap_percent,runtime,sampler,embedding_status,physical_qubits,max_chain_length,mean_chain_length,embedding_search_time,qa_chain_strength,qa_chain_break_fraction,logical_variables
6x6,SS,qpu,1.1,200.0,12970.76572,2594153.1440000003,79,571,151253046.34702003,22374570.867,0.2318840579710145,2.898550724637681,1.4402600251667208e-06,OK,0.0,,,1.5971583002246916,DWaveSampler,OK,271,7,3.430379746835443,2.5442764000035822,33561856.300500005,0.0072405063291139,79.0
6x6,SS,qpu,1.1,500.0,12970.76572,6485382.86,79,571,151253046.34702003,22374570.867,0.5797101449275363,2.898550724637681,1.4402600251667208e-06,OK,0.004,5985.0965,22.474908907557797,0.8505111001431942,DWaveSampler,OK,271,7,3.430379746835443,2.5442764000035822,33561856.300500005,0.0059873417721518,79.0
6x6,SS,qpu,1.1,1000.0,12970.76572,12970765.72,79,571,151253046.34702003,22374570.867,1.1594202898550725,2.898550724637681,1.4402600251667208e-06,OK,0.025,5031.1273,2.9535376363317183,1.0998216001316905,DWaveSampler,OK,271,7,3.430379746835443,2.5442764000035822,33561856.300500005,0.0057974683544303,79.0
6x6,SS,qpu,1.1,2000.0,12970.76572,25941531.44,79,571,151253046.34702003,22374570.867,2.318840579710145,2.898550724637681,1.4402600251667208e-06,OK,0.025,5366.396,9.8142463136363,1.1396659999154508,DWaveSampler,OK,271,7,3.430379746835443,2.5442764000035822,33561856.300500005,0.0265822784810126,79.0
6x6,SS,qpu,1.1,5000.0,12970.76572,64853828.60000001,79,571,219205940.66800004,32426914.300000004,4.0,2.0,9.937794173650372e-07,OK,0.0,,,1.0935858003795147,DWaveSampler,OK,271,7,3.430379746835443,2.5442764000035822,48640371.45,0.1429113924050633,79.0
8x8,SS,qpu,1.1,1.0,18024.58658,18024.58658,117,1030,721056775.7578199,84210868.50175999,0.0004280821917808,0.8287671232876714,1.5855910570167004e-07,OK,0.0,,,1.6949111996218562,DWaveSampler,OK,619,11,5.2905982905982905,4.211505600251257,126316302.75263998,0.0003846153846153,117.0
8x8,SS,qpu,1.1,10.0,18024.58658,180245.8658,117,1030,721056775.7578199,84210868.50175999,0.0042808219178082,0.8287671232876714,1.5855910570167004e-07,OK,0.0,,,1.771200499963015,DWaveSampler,OK,619,11,5.2905982905982905,4.211505600251257,126316302.75263998,0.0003931623931623,117.0
8x8,SS,qpu,1.1,50.0,18024.58658,901229.329,117,1030,721056775.7578199,84210868.50175999,0.021404109589041,0.8287671232876714,1.5855910570167004e-07,OK,0.0,,,1.7450059996917844,DWaveSampler,OK,619,11,5.2905982905982905,4.211505600251257,126316302.75263998,0.0004871794871794,117.0
8x8,SS,qpu,1.1,100.0,18024.58658,1802458.658,117,1030,721056775.7578199,84210868.50175999,0.0428082191780821,0.8287671232876714,1.5855910570167004e-07,OK,0.0,,,1.7950621000491085,DWaveSampler,OK,619,11,5.2905982905982905,4.211505600251257,126316302.75263998,0.0003846153846153,117.0
8x8,SS,qpu,1.1,200.0,18024.58658,3604917.316,117,1030,721056775.7578199,84210868.50175999,0.0856164383561643,0.8287671232876714,1.5855910570167004e-07,OK,0.0,,,1.358500599861145,DWaveSampler,OK,619,11,5.2905982905982905,4.211505600251257,126316302.75263998,0.0003846153846153,117.0
8x8,SS,qpu,1.1,500.0,18024.58658,9012293.29,117,1030,721056775.7578199,84210868.50175999,0.2140410958904109,0.8287671232876714,1.5855910570167004e-07,OK,0.0,,,0.7370604001916945,DWaveSampler,OK,619,11,5.2905982905982905,4.211505600251257,126316302.75263998,0.0003846153846153,117.0
8x8,SS,qpu,1.1,1000.0,18024.58658,18024586.58,117,1030,721056775.7578199,84210868.50175999,0.4280821917808219,0.8287671232876714,1.5855910570167004e-07,OK,0.0,,,0.7226295997388661,DWaveSampler,OK,619,11,5.2905982905982905,4.211505600251257,126316302.75263998,0.0002564102564102,117.0
8x8,SS,qpu,1.1,2000.0,18024.58658,36049173.16,117,1030,721056775.7578199,84210868.50175999,0.8561643835616438,0.8287671232876714,1.5855910570167004e-07,OK,0.0,,,0.7541201999410987,DWaveSampler,OK,619,11,5.2905982905982905,4.211505600251257,126316302.75263998,0.0004273504273504,117.0
8x8,SS,qpu,1.1,5000.0,18024.58658,90122932.9,117,1030,721056775.7578199,84210868.50175999,2.1404109589041096,0.8287671232876714,1.5855910570167004e-07,OK,0.0,,,1.0801417999900875,DWaveSampler,OK,619,11,5.2905982905982905,4.211505600251257,126316302.75263998,0.1326581196581196,117.0
15x15,SS,qpu,1.1,1.0,62683.32015000001,62683.32015000001,329,5026,1578680578.9506502,187423127.2485,0.0006688963210702,1.2949832775919734,1.327376208327519e-07,OK,0.0,,,2.051725400146097,DWaveSampler,OK,4494,34,13.659574468085106,129.44807470031083,281134690.87275004,0.1854528875379939,329.0
15x15,SS,qpu,1.1,10.0,62683.32015000001,626833.2015000001,329,5026,1578680578.9506502,187423127.2485,0.0066889632107023,1.2949832775919734,1.327376208327519e-07,OK,0.0,,,1.952245199587196,DWaveSampler,OK,4494,34,13.659574468085106,129.44807470031083,281134690.87275004,0.1848875379939209,329.0
15x15,SS,qpu,1.1,50.0,62683.32015000001,3134166.0075000003,329,5026,1578680578.9506502,187423127.2485,0.0334448160535117,1.2949832775919734,1.327376208327519e-07,OK,0.0,,,1.9187619001604617,DWaveSampler,OK,4494,34,13.659574468085106,129.44807470031083,281134690.87275004,0.18180547112462,329.0
15x15,SS,qpu,1.1,100.0,62683.32015000001,6268332.015000001,329,5026,1578680578.9506502,187423127.2485,0.0668896321070234,1.2949832775919734,1.327376208327519e-07,OK,0.0,,,1.892595199868083,DWaveSampler,OK,4494,34,13.659574468085106,129.44807470031083,281134690.87275004,0.1789544072948328,329.0
15x15,SS,qpu,1.1,200.0,62683.32015000001,12536664.03,329,5026,1578680578.9506502,187423127.2485,0.1337792642140468,1.2949832775919734,1.327376208327519e-07,OK,0.0,,,1.9211575998924677,DWaveSampler,OK,4494,34,13.659574468085106,129.44807470031083,281134690.87275004,0.1743738601823708,329.0
15x15,SS,qpu,1.1,500.0,62683.32015000001,31341660.075000003,329,5026,1578680578.9506502,187423127.2485,0.334448160535117,1.2949832775919734,1.327376208327519e-07,OK,0.0,,,1.361572100315243,DWaveSampler,OK,4494,34,13.659574468085106,129.44807470031083,281134690.87275004,0.156547112462006,329.0
15x15,SS,qpu,1.1,1000.0,62683.32015000001,62683320.150000006,329,5026,1578680578.9506502,187423127.2485,0.6688963210702341,1.2949832775919734,1.327376208327519e-07,OK,0.0,,,1.4346243999898434,DWaveSampler,OK,4494,34,13.659574468085106,129.44807470031083,281134690.87275004,0.1497477203647416,329.0
15x15,SS,qpu,1.1,2000.0,62683.32015000001,125366640.3,329,5026,1578680578.9506502,187423127.2485,1.3377926421404682,1.2949832775919734,1.327376208327519e-07,OK,0.0,,,1.279495999682695,DWaveSampler,OK,4494,34,13.659574468085106,129.44807470031083,281134690.87275004,0.241273556231003,329.0
15x15,SS,qpu,1.1,5000.0,62683.32015000001,313416600.75000006,329,5026,1578680578.9506502,187423127.2485,3.344481605351171,1.2949832775919734,1.327376208327519e-07,OK,0.0,,,1.2078471002168951,DWaveSampler,OK,4494,34,13.659574468085106,129.44807470031083,281134690.87275004,0.3861854103343465,329.0
