instance,formulation,topology,topology_label,topology_size,timeout,tries,seed,logical_variables,logical_edges,sweep,success,elapsed,physical_qubits,avg_chain_length,max_chain_length,embedding_overhead
6x6,MS,pegasus,qpu:pegasus,-1,2400,10,2024,259,8701,timeout,True,865.3306583000085,4503.0,17.386100386100384,34.0,17.386100386100384
6x6,MS,pegasus,qpu:pegasus,-1,2400,10,2025,259,8701,timeout,True,290.33972280001035,4675.0,18.05019305019305,35.0,18.05019305019305
6x6,MS,pegasus,qpu:pegasus,-1,2400,10,2026,259,8701,timeout,True,1435.593894199992,4537.0,17.517374517374517,31.0,17.517374517374517
6x6,MS,pegasus,qpu:pegasus,-1,2400,10,2027,259,8701,timeout,True,776.8343744000013,4755.0,18.35907335907336,37.0,18.35907335907336
6x6,MS,pegasus,qpu:pegasus,-1,2400,10,2028,259,8701,timeout,True,630.5890677999996,4705.0,18.16602316602317,40.0,18.16602316602317
8x8,MS,pegasus,qpu:pegasus,-1,2400,20,2024,413,17603,timeout,False,2418.623609400005,,,,
8x8,MS,pegasus,qpu:pegasus,-1,2400,20,2025,413,17603,timeout,False,2411.4038370999915,,,,
8x8,MS,pegasus,qpu:pegasus,-1,2400,20,2026,413,17603,timeout,False,2411.493460000027,,,,
8x8,MS,pegasus,qpu:pegasus,-1,2400,20,2027,413,17603,timeout,False,2413.868521199998,,,,
8x8,MS,pegasus,qpu:pegasus,-1,4800,20,2024,413,17603,timeout,False,4816.4282312,,,,
8x8,MS,pegasus,qpu:pegasus,-1,4800,20,2025,413,17603,timeout,False,4811.37218820001,,,,
8x8,MS,pegasus,qpu:pegasus,-1,4800,20,2026,413,17603,timeout,False,4814.435746200004,,,,
8x8,MS,pegasus,qpu:pegasus,-1,4800,20,2027,413,17603,timeout,False,4811.246288399998,,,,
8x8,MS,pegasus,qpu:pegasus,-1,4800,20,2028,413,17603,timeout,False,4816.256953700009,,,,
8x8,MS,pegasus,qpu:pegasus,-1,2400,20,2028,413,17603,timeout,False,2409.8409751,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,10,2024,259,8701,timeout,False,1055.0839807000011,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,10,2025,259,8701,timeout,False,1444.0052056999994,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,10,2026,259,8701,timeout,False,1288.617165699994,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,10,2027,259,8701,timeout,False,1143.004108699999,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,10,2028,259,8701,timeout,False,1045.3535625000077,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,20,2024,259,8701,timeout,False,2295.0583521999943,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,20,2025,259,8701,timeout,False,2404.068117899995,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,20,2026,259,8701,timeout,False,2405.3293047000043,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,20,2027,259,8701,timeout,False,2400.907816299994,,,,
6x6,MS,zephyr,qpu:zephyr,-1,2400,20,2028,259,8701,timeout,False,2236.584526000006,,,,
6x6,MS,zephyr,qpu:zephyr,-1,4800,20,2024,259,8701,timeout,False,2249.934027700016,,,,
6x6,MS,zephyr,qpu:zephyr,-1,4800,20,2025,259,8701,timeout,False,2593.6805941000057,,,,
6x6,MS,zephyr,qpu:zephyr,-1,4800,20,2026,259,8701,timeout,False,2499.311949499999,,,,
6x6,MS,zephyr,qpu:zephyr,-1,4800,20,2027,259,8701,timeout,False,2435.898501499993,,,,
6x6,MS,zephyr,qpu:zephyr,-1,4800,20,2028,259,8701,timeout,False,2249.895353300002,,,,
6x6,MS,zephyr,qpu:zephyr,-1,4800,50,2024,259,8701,timeout,False,4806.995550699998,,,,
6x6,MS,zephyr,qpu:zephyr,-1,4800,50,2025,259,8701,timeout,False,4807.3169376000005,,,,
6x6,MS,zephyr,qpu:zephyr,-1,4800,50,2026,259,8701,timeout,False,4806.520021700009,,,,
6x6,MS,zephyr,qpu:zephyr,-1,4800,50,2027,259,8701,timeout,False,4804.375875900005,,,,
6x6,MS,zephyr,qpu:zephyr,-1,4800,50,2028,259,8701,timeout,False,4804.3269003999885,,,,
